Id;Ime;Obdobje;Narodnost;Smer;Kraj
3789;UGOLINO-LORENZETTI;Medieval;Italian;painter;Siena
726;CASSIOLI, Amos;Realism;Italian;painter;Florence
525;BONHEUR, Rosa;Realism;French;painter;Paris
832;CLAESZ., Leendert;Baroque;Dutch;goldsmith;Amsterdam
213;BRESOLIN, Domenico;Realism;Italian;painter;Venice
3782;TWACHTMAN, John Henry;Realism;American;painter;
3436;SCHWARZ, Hans;Northern Renaissance;German;sculptor;Augsburg
3660;TEMPEL, Abraham van den;Baroque;Dutch;painter;Amsterdam
3579;STERN, Ignaz;Baroque;German;painter;Italy
1139;DUBORDIEU, Pieter;Baroque;Dutch;painter;Leiden
3939;VIANEN, Paulus van;Baroque;Dutch;goldsmith;Prague
4076;WILLIAMS, Walter;Realism;English;painter;London
3554;SPINELLI, Giovanni Battista;Baroque;Italian;painter;Naples
1022;DANTI, Vincenzo;Mannerism;Italian;sculptor;Florence
2854;PASTI, Matteo de';Early Renaissance;Italian;sculptor;Rimini
4015;VUILLARD, Édouard;Impressionism;French;painter;
1605;GRASSI, Giovannino de';Medieval;Italian;illuminator;Milan
2797;PACETTI, Vincenzo;Neoclassicism;Italian;sculptor;Rome
2162;LONGHI, Pietro;Baroque;Italian;painter;Venice
767;CELLINI, Benvenuto;High Renaissance;Italian;goldsmith;
2502;MASTER of the Vienna Adoration;Northern Renaissance;Austrian;painter;
3293;RUSCHI, Francesco;Baroque;Italian;painter;Venice
3309;RYCKAERT, Maerten;Baroque;Flemish;painter;Antwerp
1066;DERUET, Claude;Baroque;French;painter;Nancy
2033;LE PRINCE, Jean-Baptiste;Rococo;French;painter;Paris
1672;GÜNTHER, Matthäus;Rococo;German;painter;
3435;SCHWARZ, Christoph;Mannerism;German;painter;Munich
15;ADLER, Salomon;Baroque;German;painter;Milan
2857;PATEL, Pierre;Baroque;French;painter;Paris
121;ARFE, goldsmith family;High Renaissance;Spanish;goldsmith;
179;BALESTRA, Antonio;Baroque;Italian;painter;Verona
2434;MASTER of Female Half-lengths;Mannerism;Flemish;painter;Antwerp
30;AKOTANTOS, Angelos;Medieval;Greek;painter;Crete
2723;NONNOTTE, Donat;Rococo;French;painter;Lyon
2460;MASTER of the Blue Crucifixes;Medieval;Italian;painter;Umbria
3727;TÖPFFER, Adam-Wolfgang;Romanticism;Swiss;painter;Geneva
2894;PERINO DEL VAGA;High Renaissance;Italian;painter;
3557;SPINELLO ARETINO;Medieval;Italian;painter;
3739;TORRITI, Jacopo;Medieval;Italian;painter;Rome
3976;VIVARINI, Bartolomeo;Early Renaissance;Italian;painter;Venice
958;COUSTOU, Nicolas;Baroque;French;sculptor;
4035;WEEKES, Henry;Neoclassicism;English;sculptor;London
1307;FLEGEL, Georg;Baroque;German;painter;Frankfurt
1150;DUGONI, Antonio;Realism;Italian;painter;
3333;SALÒ, Pietro di Lorenzo da;High Renaissance;Italian;sculptor;Venice
3099;RAMBOUX, Johann Anton Alban;Romanticism;German;painter;
1850;JANSSENS, Jan Willem;Baroque;Flemish;painter;Ghent
1662;GUGLIELMO, Fra;Medieval;Italian;sculptor;
2868;PEDON, Bartolomeo;Rococo;Italian;painter;Venice
965;COYPEL, Antoine;Baroque;French;painter;
1560;GIULIO ROMANO;Mannerism;Italian;painter;Rome
2881;PÉNICAUD, Nardon;Northern Renaissance;French;goldsmith;Limoges
3752;TREMIGNON, Alessandro;Baroque;Italian;architect;Venice
3566;STARNINA, Gherardo di Jacopo;Medieval;Italian;painter;Florence
3642;TALPA, Bartolo;Early Renaissance;Italian;sculptor;Mantua
1222;EYCK, Barthélemy d';Northern Renaissance;Flemish;painter;France
3656;TAUNAY, Nicolas Antoine;Rococo;French;painter;
4141;ZUCCARELLI, Francesco;Baroque;Italian;painter;Venice
2410;MASTELLETTA;Mannerism;Italian;painter;Rome
141;AUDRAN, Claude III;Baroque;French;painter;Paris
3126;REGNAULT, Henri;Romanticism;French;painter;
2249;MAKOVSKY, Vladimir Yegorovich;Realism;Russian;painter;Moscow
3595;STOSKOPFF, Sébastien;Baroque;French;painter;Strasbourg
2842;PARMIGIANINO;Mannerism;Italian;painter;Parma
2671;NATTIER, Jean-Baptiste;Baroque;French;painter;Paris
1230;FABRIS, Pietro;Rococo;Italian;painter;Naples
2052;LEGA, Silvestro;Realism;Italian;painter;Florence
2140;LISIEWSKA, Anna Dorothea;Rococo;German;painter;
813;CIGNANI, Carlo;Baroque;Italian;painter;Bologna
3227;ROHLFS, Christian;Impressionism;German;painter;Berlin
1867;JONGHE, Gustave Léonard de;Realism;Belgian;painter;Paris
1345;FRAGONARD, Alexandre-Évariste;Neoclassicism;French;painter;
1540;GIOVANNI DEL BIONDO;Medieval;Italian;painter;Florence
676;CAPORALI, Bartolomeo;Early Renaissance;Italian;painter;Perugia
3699;TILLEMANS, Peter;Rococo;English;painter;
345;BEERT, Osias the Younger;Baroque;Flemish;painter;Antwerp
3851;VALLAYER-COSTER, Anne;Rococo;French;painter;Paris
622;CAJES, Eugenio;Baroque;Spanish;painter;Madrid
703;CAROTO, Giovanni Francesco;High Renaissance;Italian;painter;Verona
2270;MONTELUPO, Baccio da;High Renaissance;Italian;sculptor;Florence
2810;PALAMEDESZ., Anthonie;Baroque;Dutch;painter;Delft
738;CASTRUCCI, Cosimo;Mannerism;Italian;sculptor;Prague
3769;TRUBETZKOY, Prince Paolo;Realism;Italian;sculptor;
4020;WALDMÜLLER, Fedinand Georg;Romanticism;Austrian;painter;Vienna
1035;DE FABRIS, Emilio;Realism;Italian;architect;Florence
3745;TRABALLESI, Bartolomeo;Mannerism;Italian;painter;Florence
446;BIANCHI, Giovanni Battista;Baroque;Italian;architect;Verona
1563;GIUSTO de' Menabuoi;Medieval;Italian;painter;Padua
570;BOTTICINI, Raffaello;High Renaissance;Italian;painter;Florence
170;BAILLY, Jacques II;Baroque;French;painter;Paris
2506;MASTER PAUL of Löcse;Northern Renaissance;Hungarian;sculptor;
866;COLA DA CAPRAROLA;High Renaissance;Italian;architect;
1053;DELFF, Jacob Willemsz I;Northern Renaissance;Dutch;painter;Delft
1060;DEMARNE, Jean-Louis;Rococo;French;painter;Paris
3081;QUELLINUS, Jan-Erasmus;Baroque;Flemish;painter;
2976;PISSARRO, Camille;Impressionism;French;painter;
2009;LAPITO, Louis-Auguste;Realism;French;painter;
3244;ROOME, Jan van;Northern Renaissance;Flemish;painter;Brussels
496;BOECKHORST, Jan van;Baroque;Flemish;painter;Antwerp
3726;TOOROP, Jan;Impressionism;Dutch;painter;
2801;PACINO DI BONAGUIDA;Medieval;Italian;illuminator;Florence
3326;SAINT-JEAN, Simon;Romanticism;French;painter;Lyon
2942;PIERRE, Jean-Baptiste-Marie;Rococo;French;painter;Paris
772;CERQUOZZI, Michelangelo;Baroque;Italian;painter;Rome
569;BOTTICINI, Francesco;Early Renaissance;Italian;painter;Florence
3686;THOMAS, Jan;Baroque;Flemish;painter;Vienna
2139;LISBOA, Antonio Francisco;Rococo;Portuguese;sculptor;Brazil
431;BERTOLDO DI GIOVANNI;Early Renaissance;Italian;sculptor;Florence
736;CASTILLO, Antonio del;Baroque;Spanish;painter;Cordoba
3632;SWOBODA, Rudolph Der G.;Realism;Austrian;painter;
740;CATEL, Franz Ludwig;Romanticism;German;painter;
3118;RECCO, Elena;Baroque;Italian;painter;Naples
3065;PUGET, Pierre;Baroque;French;sculptor;
4051;WESTERHOLM, Victor Axel;Impressionism;Finnish;painter;
2109;LIBERI, Pietro;Baroque;Italian;painter;Venice
2582;MEULEN, Adam Frans van der;Baroque;Flemish;painter;
3803;UNKNOWN MASTERS, French;Medieval;French;painter;
1438;GARGIULO, Domenico;Baroque;Italian;painter;Naples
2340;MANOPOLA, Bartolomeo;Mannerism;Italian;architect;Venice
2625;MILLET, Francisque;Baroque;French;painter;Paris
3613;STROZZI, Bernardo;Baroque;Italian;painter;Genoa
142;AUGUSTIN, Jean-Baptiste-Jacques;Rococo;French;miniaturist;
901;COOMANS, Pierre Olivier Joseph;Realism;Belgian;painter;
429;BERTIN, Nicolas;Baroque;French;painter;Paris
2254;MALOMBRA, Pietro;Mannerism;Italian;painter;Venice
660;CAMPI, Giulio;High Renaissance;Italian;painter;Cremona
1329;FONTEBASSO, Francesco;Rococo;Italian;painter;Venice
265;BURCH, Hendrick van der;Baroque;Dutch;painter;Delft
1506;GIJSELS, Pieter;Baroque;Flemish;painter;Antwerp
1075;DEVIS, Arthur;Rococo;English;painter;London
2599;MICHELOZZO DI BARTOLOMEO;Early Renaissance;Italian;architect;Florence
639;CAMMARANO, Michele;Realism;Italian;painter;Naples
2440;MASTER of Hoogstraeten;Northern Renaissance;Flemish;painter;
2603;MIEREVELD, Michiel Jansz. van;Baroque;Dutch;painter;Delft
530;BONNASSIEUX, Jean-Marie Bienaimé;Neoclassicism;French;sculptor;
828;CLAEISSENS, Antoon;Mannerism;Flemish;painter;Bruges
3616;STUBBS, George;Rococo;English;painter;
2853;PASSIGNANO;High Renaissance;Italian;painter;Florence
2068;LEMOT, François-Frédéric;Neoclassicism;French;sculptor;
2454;MASTER of the Acquavella Still-Life;Baroque;Italian;painter;Rome
4094;WOOTTON, John;Baroque;English;painter;
2137;LIPPO DI DALMASIO;Medieval;Italian;painter;Bologna
3318;SACCHI, Andrea;Baroque;Italian;painter;Rome
2866;PEARCE, Edward;Baroque;English;sculptor;
3447;SEGANTINI, Giovanni;Impressionism;Italian;painter;
1026;DAUCHER, Adolf;Northern Renaissance;German;sculptor;
477;BLOCK, Benjamin;Baroque;German;painter;
3090;RAFFAELLO Sanzio;High Renaissance;Italian;painter;
2363;MARINARI, Onorio;Baroque;Italian;painter;Florence
214;BRETON, Jules;Realism;French;painter;
2794;PAÁL, László;Realism;Hungarian;painter;Barbizon
2066;LEMOINE, Pierre-Antoine;Baroque;French;painter;Paris
2799;PACHER, Friedrich;Northern Renaissance;Austrian;painter;
2383;MARSY, Gaspard;Baroque;French;sculptor;
1419;GALIZIA, Fede;Baroque;Italian;painter;Milan
1070;DESPORTES, Alexandre-François;Baroque;French;painter;
199;BRAY, Salomon de;Baroque;Dutch;painter;Haarlem
1773;HORNY, Franz;Romanticism;German;painter;
391;BENSO, Giulio;Baroque;Italian;painter;
3730;TORELLI, Matteo di Filippo;Early Renaissance;Italian;illuminator;Florence
3234;ROMANELLI, Giovanni Francesco;Baroque;Italian;painter;
2286;MOREAU, Adrien;Realism;French;painter;Paris
907;COQUES, Gonzales;Baroque;Flemish;painter;Antwerp
1976;LA HIRE, Laurent de;Baroque;French;painter;
921;CORONA, Leonardo;Mannerism;Italian;painter;Venice
2279;MORA, Bernardo de;Baroque;Spanish;sculptor;Granada
650;CSONTVÁRY KOSZTKA, Tivadar;Romanticism;Hungarian;painter;
3171;RIDOLFI, Carlo;Baroque;Italian;painter;Venice
3754;TREVISANI, Francesco;Baroque;Italian;painter;
2849;PASQUETTI, Fortunato;Rococo;Italian;painter;Venice
1039;DECKER, Cornelis Gerritsz;Baroque;Dutch;painter;Haarlem
3146;RESCHI, Pandolfo;Baroque;Polish;painter;Florence
4145;ZUCCHI, Francesco;Mannerism;Italian;painter;Florence
935;COSTER, Arent;Northern Renaissance;Netherlandish;goldsmith;Amsterdam
3213;ROCCA, Michele;Rococo;Italian;painter;
2613;MIJ, Hieronymus van der;Baroque;Dutch;painter;Leiden
1555;GIROLAMO del Pacchia;High Renaissance;Italian;painter;Siena
1044;DEGOUVE DE NUNCQUES, William;Impressionism;Belgian;painter;
3084;QUERFURT, August;Baroque;German;painter;Vienna
550;BORSSOM, Anthonie van;Baroque;Dutch;painter;Amsterdam
2684;NELLI, Ottaviano;Early Renaissance;Italian;painter;Gubbio
2893;PÉREZ, Bartolomé;Baroque;Spanish;painter;Madrid
652;CUIRIS, Juan Bautista;Mannerism;Other;painter;Mexico
1614;GREGORIO DI CECCO;Early Renaissance;Italian;painter;Siena
2088;LEROLLE, Henry;Realism;French;painter;Paris
2535;MAZZOLA BEDOLI, Girolamo;Mannerism;Italian;painter;Parma
1021;DANTAN, Jean-Pierre;Romanticism;French;sculptor;
3869;VASSILACCHI, Antonio;Mannerism;Italian;painter;Venice
1635;GRONDONCK, Bartholomeus;Baroque;Flemish;painter;Antwerp
3194;RITZOS, Andreas;Medieval;Greek;painter;Crete
3330;SALINI, Tommaso;Baroque;Italian;painter;Rome
961;COX, David;Romanticism;English;painter;
2527;MAZIÈRE, Simon;Baroque;French;sculptor;
1071;DESUBLEO, Michele;Baroque;Flemish;painter;Italy
706;CARPI, Girolamo da;High Renaissance;Italian;painter;Ferrara
2618;MIJTENS, Jan;Baroque;Dutch;painter;The Hague
4027;WATERLOO, Anthonie;Baroque;Dutch;painter;
4136;ZOCCHI, Giuseppe;Baroque;Italian;painter;Florence
3946;VIEN, Joseph-Marie;Neoclassicism;French;painter;
3612;STROOBANT, François;Realism;Belgian;painter;
540;BORGHESE DI PIERO BORGHESE;Early Renaissance;Italian;painter;Lucca
3446;SEEMAN, Enoch;Baroque;English;painter;London
4102;WTEWAEL, Peter;Baroque;Dutch;painter;Utrecht
3384;SAVOYEN, Carel van;Baroque;Flemish;painter;Amsterdam
2077;LEONARDO da Vinci;Early Renaissance;Italian;painter;
3063;PUCELLE, Jean;Medieval;French;illuminator;Paris
2845;PARS, William;Rococo;English;painter;
1847;JANNECK, Franz Christoph;Rococo;Austrian;painter;
1543;GIOVANNI DI FRANCESCO DEL CERVELLIERA;Early Renaissance;Italian;painter;Florence
66;AMIGONI, Jacopo;Baroque;Italian;painter;Venice
1457;GEEL, Jacob van;Baroque;Dutch;painter;
1125;DOUVERMAN, Hendrick;Northern Renaissance;Netherlandish;sculptor;Kalkar
1519;GIORGIO D'ALEMAGNA;Early Renaissance;Italian;illuminator;
4013;VROOM, Hendrick Cornelisz.;Baroque;Dutch;painter;Haarlem
3248;RØRBYE, Martinus;Romanticism;Danish;painter;
453;BIGARNY, Felipe;High Renaissance;Spanish;sculptor;
1648;GUARDI, Francesco;Rococo;Italian;painter;Venice
275;BUSSI, Santino;Rococo;Austrian;sculptor;
1443;GAROLA, Pietro Francesco;Baroque;Italian;painter;
1796;HUPIN, Jacques;Baroque;French;painter;
711;CARRACCI, Lodovico;Baroque;Italian;painter;Bologna
1765;HONTHORST, Gerrit van;Baroque;Dutch;painter;Utrecht
3097;RAINALDI, Carlo;Baroque;Italian;architect;Rome
1567;GOBIN, Michel;Baroque;French;painter;Orléans
1264;FERGUSON, William Gowe;Baroque;Scottish;painter;
1749;HOET, Gerard I;Baroque;Dutch;painter;Utrecht
833;CLAESZ., Pieter;Baroque;Dutch;painter;Haarlem
3806;UNKNOWN MASTERS, French;Northern Renaissance;French;sculptor;
308;BARTSIUS, Willem;Baroque;Dutch;painter;Amsterdam
3088;RAFFAËLLI, Jean-François;Realism;French;painter;Paris
4060;WIERINGA, Willems Harmen;Baroque;Dutch;painter;
4026;WATERHOUSE, John William;Realism;English;painter;
2045;LEE, Frederick Richard;Romanticism;English;painter;
3871;VECCHI, Giovanni de';Mannerism;Italian;painter;Rome
3713;TITO, Tiberio di;Mannerism;Italian;painter;Florence
258;BULGARINI, Bartolommeo;Medieval;Italian;painter;Siena
1274;FERRARI, Giovanni;Neoclassicism;Italian;sculptor;Venice
2788;OUTIN, Pierre;Romanticism;French;painter;
1726;HEUSCH, Jacob de;Baroque;Dutch;painter;
999;DAHL, Johan Christian Clausen;Romanticism;Norwegian;painter;
1034;DE CORTE, Josse;Baroque;Flemish;sculptor;Venice
4092;WOLFFORT, Artus;Baroque;Flemish;painter;Antwerp
2200;LUCE, Lucas;Baroque;Dutch;painter;Amsterdam
2900;PERRONNEAU, Jean-Baptiste;Baroque;French;painter;
1446;GARZONI, Giovanna;Baroque;Italian;painter;
2950;PIETRO DA VICENZA;Early Renaissance;Italian;painter;Friuli
1518;GIORGETTI, Antonio;Baroque;Italian;sculptor;Rome
150;BABOCCIO DA PIPERNO, Antonio;Early Renaissance;Italian;sculptor;Naples
3391;SCERPSWERT, Elyas;Medieval;Netherlandish;goldsmith;Utrecht
1884;JULIEN, Pierre;Rococo;French;sculptor;
3527;SOLARIO, Antonio;Early Renaissance;Italian;painter;
955;COUSTENS, Pieter;Northern Renaissance;Flemish;painter;
1321;FONTANA, Annibale;Mannerism;Italian;sculptor;Milan
1793;HUMMEL, Johann Erdmann;Romanticism;German;painter;
2524;MAY, Edward Harrison;Realism;American;painter;Paris
2221;MACTAGGART, William;Romanticism;Scottish;painter;
474;BLEYSWIJCK, Cornelis Adriaensz van;Baroque;Dutch;goldsmith;Delft
2060;LEITCH, William Leighton;Romanticism;Scottish;painter;London
731;CASTELLO, Giovanni Battista;Mannerism;Italian;illuminator;Genoa
3048;PRIMATICCIO, Francesco;Mannerism;Italian;painter;Fontainebleau
349;BEGAS, Carl the Elder;Romanticism;German;painter;
954;COUSIN, Jean the Younger;Mannerism;French;painter;Paris
4107;WYNANTS, Jan;Baroque;Dutch;painter;Amsterdam
2670;NATOIRE, Charles-Joseph;Rococo;French;painter;Paris
1572;GOGH, Vincent van;Impressionism;Dutch;painter;
283;BARBIERI, Paolo Antonio;Baroque;Italian;painter;
3236;ROMANO, Giovanni Cristoforo;Early Renaissance;Italian;sculptor;Rome
1367;FRANCIABIGIO;High Renaissance;Italian;painter;Florence
341;BEER, Jan de;Northern Renaissance;Flemish;painter;Antwerp
2171;LOOFS, Adam;Baroque;Dutch;goldsmith;The Hague
94;ANGUISSOLA, Sofonisba;Mannerism;Italian;painter;Cremona
862;COELLO, Claudio;Baroque;Spanish;painter;Madrid
3389;SCARPAGNINO;High Renaissance;Italian;architect;Venice
3383;SAVOLDO, Giovanni Girolamo;High Renaissance;Italian;painter;Venice
28;AIVAZOVSKY, Ivan Konstantinovich;Realism;Russian;painter;
1952;KONINCK, Salomon;Baroque;Dutch;painter;Amsterdam
3511;SLUTER, Claus;Medieval;Netherlandish;sculptor;Dijon
1431;GANDOLFI, Gaetano;Neoclassicism;Italian;painter;Bologna
3694;TIELIUS, Johannes;Baroque;Dutch;painter;London
964;COXCIE, Raphael;Mannerism;Flemish;painter;Mechelen
365;BELLEGAMBE, Jean;Northern Renaissance;Flemish;painter;Amiens
411;BERGOIJS, Claes;Baroque;Dutch;painter;Amsterdam
719;CARUS, Karl Gustav;Romanticism;German;painter;
857;COCK, Paul de;Rococo;Flemish;painter;Bruges
2531;MAZZA, Tommaso del;Medieval;Italian;painter;Florence
3204;ROBERT, Hubert;Rococo;French;painter;
1512;GILPIN, Sawrey;Rococo;English;painter;London
1116;DORFFMEISTER, József;Rococo;Hungarian;painter;
382;BENEDETTI, Andries;Baroque;Italian;painter;
176;BALDUCCI, Matteo;High Renaissance;Italian;painter;Umbria
3838;VAFFLARD, Pierre-Auguste;Romanticism;French;painter;Paris
3861;VARIN, Quentin;Baroque;French;painter;
172;BALDASSARE D' ESTE;Early Renaissance;Italian;painter;Ferrara
2971;PISANELLO;Early Renaissance;Italian;painter;
461;BIRGER, Hugo;Impressionism;Swedish;painter;
849;CLEVELEY, John the Younger;Rococo;English;painter;Deptford
2802;PACKX, Hendrick Ambrosius;Baroque;Dutch;painter;Amsterdam
2219;MACHY, Pierre-Antoine de;Neoclassicism;French;painter;Paris
4132;ZIMMERMANN, August Albert;Realism;German;painter;Vienna
3949;VIGNOLA, Giacomo da;High Renaissance;Italian;architect;Rome
2224;MADERNO, Stefano;Baroque;Italian;sculptor;
1415;GAINSBOROUGH, Thomas;Rococo;English;painter;
359;BELIN DE FONTENAY, Jean-Baptiste;Baroque;French;painter;Paris
988;CRIVELLI, Carlo;Early Renaissance;Italian;painter;Venice
661;CAMPI, Vincenzo;Mannerism;Italian;painter;Cremona
325;BAURSCHEIT, Jan Peter van, the Elder;Baroque;Flemish;sculptor;
2770;ORLEY, Bernaert van;Northern Renaissance;Flemish;painter;Brussels
3021;POSI, Paolo;Rococo;Italian;architect;Rome
1861;JIMÉNEZ Y ARANDA, Luis;Realism;Spanish;painter;
3294;RUSCONI, Camillo;Baroque;Italian;sculptor;Rome
153;BACCIO d'Agnolo;High Renaissance;Italian;sculptor;Florence
69;ANCONA, Vito d';Realism;Italian;painter;Florence
2257;MALTON, James;Rococo;English;painter;London
1690;HEEM, Cornelis de;Baroque;Dutch;painter;Leiden
960;COUWENBERGH, Christiaen van;Baroque;Dutch;painter;Delft
2349;MARCHESINI, Alessandro;Baroque;Italian;painter;Verona
65;AMICO FRIULANO DEL DOSSO;High Renaissance;Italian;painter;
2633;MISERONI, Dionysio;Baroque;Italian;sculptor;Prague
4140;ZUBOV, Aleksey Fyodorovich;Baroque;Russian;painter;Moscow
2124;LINARD, Jacques;Baroque;French;painter;
2269;MONTAUTI, Antonio;Baroque;Italian;sculptor;
2951;PIETRO DI DOMENICO DA MONTEPULCIANO;Medieval;Italian;painter;Marches
412;BERJON, Antoine;Romanticism;French;painter;
3826;UNTERBERGER, Michelangelo;Baroque;Austrian;painter;
2570;MERCIÉ, Antonin;Realism;French;sculptor;Paris
1358;FRANCESCO DEL BORGO;Early Renaissance;Italian;architect;Rome
306;BARTOLOMEO VENETO;High Renaissance;Italian;painter;Venice
395;BENTLEY, Charles;Romanticism;English;painter;London
615;CAFFI, Ippolito;Romanticism;Italian;painter;
2735;NÚÑEZ DELGADO, Gaspar;Mannerism;Spanish;sculptor;Seville
1005;DALENS, Dirck III;Rococo;Dutch;painter;Amsterdam
4009;VRIES, Abraham de;Baroque;Dutch;painter;The Hague
2335;MANETTI, Rutilio;Mannerism;Italian;painter;Siena
2820;PALMERINO DI GUIDO;Medieval;Italian;painter;
2602;MIELICH, Hans;Northern Renaissance;German;painter;Munich
1226;FABBRINI, Giuseppe Antonio;Neoclassicism;Italian;painter;Florence
747;CAUSICI, Enrico;Neoclassicism;Italian;sculptor;North America
842;CLÉSINGER, Auguste;Romanticism;French;sculptor;
2661;NALDINI, Giovan Battista;Mannerism;Italian;painter;Florence
1636;GROOTH, Johann Friedrich;Rococo;German;painter;St. Petersburg
1078;DEWHURST, Wynford;Impressionism;English;painter;
398;BÉRAUD, Jean;Impressionism;French;painter;Paris
973;CRAEN, Laurens;Baroque;Dutch;painter;Middelburg
3220;ROEPEL, Coenraet;Baroque;Dutch;painter;The Hague
1781;HUBER, Jean;Rococo;Swiss;painter;Geneva
2949;PIETRO DA RIMINI;Medieval;Italian;painter;Rimini
1871;JONSON VAN CEULEN, Cornelius the Younger;Baroque;Dutch;painter;Utrecht
1575;GONZAGA, Pietro di Gottardo;Romanticism;Italian;painter;
3998;VOS, Jan de;Mannerism;Dutch;goldsmith;
932;COSSIERS, Jan;Baroque;Flemish;painter;Antwerp
1920;KISS, Bálint;Romanticism;Hungarian;painter;Pest
3502;SITTOW, Michel;Northern Renaissance;Flemish;painter;
2149;LOCHNER, Stefan;Northern Renaissance;German;painter;Cologne
818;CIMAROLI, Giovanni Battista;Baroque;Italian;painter;Venice
4055;WEYDEN, Goswijn van der;Northern Renaissance;Flemish;painter;Brussels
79;ANDREOLI, Giorgio;High Renaissance;Italian;potter;Gubbio
1511;GILMAN, Harold;Impressionism;English;painter;
894;CONTE, Jacopino del;Mannerism;Italian;painter;
1456;GEEFS, Guillaume;Romanticism;Belgian;sculptor;
971;COZZARELLI, Guidoccio;Early Renaissance;Italian;illuminator;Siena
4115;ZAGANELLI, Francesco di Bosio;Early Renaissance;Italian;painter;
2865;PEALE, James;Romanticism;American;painter;
310;BASAITI, Marco;High Renaissance;Italian;painter;Venice
2637;MOCHI, Francesco;Baroque;Italian;sculptor;
1407;GABRIEL, Ange-Jacques;Baroque;French;architect;Paris
946;COURT, Jean de;Mannerism;French;painter;
1238;FALCONE, Bernardo;Baroque;Italian;sculptor;
547;BORROMINI, Francesco;Baroque;Italian;architect;Rome
544;BORRANI, Odoardo;Realism;Italian;painter;Florence
2944;PIETERSZ., Pieter;Mannerism;Netherlandish;painter;
1752;HOLBEIN, Ambrosius;Northern Renaissance;German;painter;
1198;ENDER, Thomas;Romanticism;Austrian;painter;
