Id_slikarja;Ime;Narodnost;Obdobje
1691;GIUSTO de' Menabuoi;Italian;1351-1400
3902;SOMM, Henry;French;1851-1900
3735;SAUVAGE, Piat-Joseph;Flemish;1751-1800
491;BOROVIKOVSKY, Vladimir Lukich;Russian;1751-1800
1390;FERRI, Antonio Maria;Italian;1651-1700
1637;GILMAN, Harold;English;1851-1900
835;CHANTREY, Sir Francis Legatt;English;1801-1850
3321;POORTER, Willem de;Dutch;1601-1650
541;BOURSSE, Esaias;Dutch;1651-1700
672;CAFFI, Ippolito;Italian;1801-1850
2885;MOR VAN DASHORST, Anthonis;Flemish;1551-1600
4531;WIT, Jacob de;Dutch;1701-1750
3618;ROTARI, Pietro Antonio;Italian;1701-1750
1735;GOVAERTS, Abraham;Flemish;1601-1650
219;BAROVIER, Angelo;Italian;1401-1450
3096;PACKX, Hendrick Ambrosius;Dutch;1601-1650
1759;GREEN, Valentine;English;1751-1800
4014;TADDEO DI BARTOLO;Italian;1351-1400
3308;POLLAK, Leopold;Austrian;1801-1850
1152;DEMUT-MALINOVSKY, Vasily Ivanovich;Russian;1801-1850
559;BRAMANTINO;Italian;1451-1500
2433;LOYET, Gerard;Flemish;1451-1500
2393;LOMBARDO, Tullio;Italian;1501-1550
81;ANDREA di Vanni d'Andrea;Italian;1351-1400
334;BENVENUTO DI GIOVANNI;Italian;1451-1500
1383;FERRARI, Giovanni;Italian;1751-1800
2636;MASTER of the Blue Jeans;Italian;1651-1700
4172;UHDE, Fritz van;German;1851-1900
701;CAMPEN, Jacob van;Dutch;1601-1650
3515;RIPA, Cesare;Italian;1551-1600
667;CACCIANIGA, Francesco;Italian;1701-1750
4336;VERHEYEN, Jan Hendrik;Dutch;1801-1850
2715;MAZZONI, Guido;Italian;1451-1500
2848;MOJA, Federico;Italian;1801-1850
499;BORTOLONI, Mattia;Italian;1701-1750
670;CADORIN, Ludovico;Italian;1851-1900
319;BENEDETTI, Andries;Italian;1601-1650
2656;MASTER of the Legend of Saint Lucy;Flemish;1451-1500
4211;UNKNOWN GOLDSMITH, Swiss;Spanish;1751-1800
2915;MOSAIC ARTIST, Italian;Italian;1101-1150
379;BEVERWIJCK, Johan van;Dutch;1601-1650
1577;GAUTIER-DAGOTY, Jacques-Fabien;French;1751-1800
2008;HUYSUM, Jan van;Dutch;1701-1750
228;BARTLETT, Paul Wayland;American;1851-1900
3430;RAVESTEYN, Hubert van;Dutch;1651-1700
2181;KREUGER, Nils Edvard;Swedish;1851-1900
3682;SAINT-QUENTIN, Jacques-Philip-Joseph de;French;1751-1800
76;ANDREA DA MURANO;Italian;1451-1500
903;CLINT, George;English;1801-1850
882;CLAEISSENS, Pieter the Younger;Flemish;1551-1600
1828;HABERLE, John;American;1851-1900
1689;GIUNTA PISANO;Italian;1201-1250
1622;GIAMPIETRINO;Italian;1501-1550
359;BERNERO, Giovanni Battista;Italian;1751-1800
2328;LEVECQ, Jacobus;Dutch;1651-1700
660;CABANEL, Alexandre;French;1851-1900
3615;ROSSO FIORENTINO;Italian;1501-1550
2150;KNIP, Nicolaas Frederik;Dutch;1751-1800
2070;JENSEN, Christian Albrecht;Danish;1801-1850
1838;HAGEMANN, Karl Friedrich;German;1751-1800
2282;LEF?VRE, Robert;French;1801-1850
1668;GIOVANNI DI BALDUCCIO;Italian;1301-1350
354;BERNARD, Émile;French;1851-1900
4381;VIGNON, Victor Alfred Paul;French;1851-1900
912;COCK, Hieronymus;Flemish;1501-1550
1848;HALS, Frans II;Dutch;1651-1700
3014;NOORDT, Jan van;Dutch;1651-1700
868;CIGOLI;Italian;1551-1600
3118;PAMPALONI, Luigi;Italian;1801-1850
3061;ORLEY, Bernaert van;Flemish;1501-1550
1239;DUBOIS, René;French;1751-1800
291;BÉLANGER, François-Joseph;Italian;1751-1800
3416;RAMEY, Claude;French;1801-1850
2793;MIGEON, Pierre II;French;1701-1750
178;BAERS, Johannes;Dutch;1601-1650
1231;DROLLING, Martin;French;1751-1800
3181;PÉNICAUD, Pierre;French;1551-1600
993;COSSA, Francesco del;Italian;1451-1500
230;BARTOLO DI FREDI;Italian;1351-1400
3347;PREDIS, Ambrogio de;Italian;1451-1500
4057;THEOTOKOPOULOS, Jorge Manuel;Spanish;1601-1650
2239;LASINIO, Carlo;Italian;1801-1850
2420;LORENZI, Stoldo di Gino;Italian;1551-1600
277;BEERSTRATEN, Jan Abrahamsz.;Flemish;1601-1650
2817;MINIATURIST, Bohemian;Bohemian;1051-1100
4355;VERSPRONCK, Jan Cornelisz;Dutch;1601-1650
3234;PICKENOY, Nicolaes Eliasz.;Dutch;1601-1650
189;BALDINI, Baccio;Italian;1451-1500
253;BATTEM, Gerrit van;Dutch;1651-1700
1368;FENDI, Peter;Austrian;1801-1850
1086;DALENS, Dirck II;Dutch;1651-1700
2124;KEUNINCK, Kerstiaen de;Flemish;1551-1600
3889;SOKOLOV, Pyotr Fyodorovich;Russian;1801-1850
2779;MICHELE DI GIOVANNI DA FIESOLE;Italian;1401-1450
2101;JUVARRA, Filippo;Italian;1701-1750
103;ANSELMI, Michelangelo;Italian;1501-1550
2780;MICHELE DI MATTEO;Italian;1401-1450
396;BILIVERT, Giovanni;Italian;1601-1650
4552;WTEWAEL, Joachim;Dutch;1601-1650
564;BRANDI, Domenico;Italian;1701-1750
77;ANDREA DEL CASTAGNO;Italian;1401-1450
3512;RING, Ludger tom, the Elder;German;1501-1550
2759;MERYON, Charles;French;1851-1900
2541;MARKÓ, Károly the Younger;Hungarian;1851-1900
2670;MASTER of the Playing Cards;German;1401-1450
3142;PASCH, Lorentz the Younger;Swedish;1751-1800
2331;LEVY, Vaclav;Bohemian;1801-1850
1028;COYPEL, Charles-Antoine;French;1701-1750
4561;YEVELE, Henry;English;1351-1400
1156;DEPPE, Ludwig;German;1801-1850
1475;FRANCESCO DI VANNUCCIO;Italian;1351-1400
2455;MACHADO DE CASTRO, Joachim;Portuguese;1751-1800
1962;HONDECOETER, Gillis Claesz. d';Dutch;1601-1650
2508;MANSUETI, Giovanni;Italian;1501-1550
3497;RIESENER, Henri-François;French;1751-1800
2611;MASTER of Flora;French;1551-1600
2065;JEAN DE LI?GE;French;1351-1400
4521;WILLIAMS, Edward Charles;English;1801-1850
2991;NICCOL? DI TOMMASO;Italian;1351-1400
3901;SOMER, Paulus van;Flemish;1601-1650
3802;SCOREL, Jan van;Dutch;1501-1550
1200;DOMENICO DEI CAMMEI;Italian;1451-1500
4313;VELDE, Willem van de, the Younger;Dutch;1651-1700
1806;GUÉRIN, Jean-Urbain;French;1751-1800
1638;GILPIN, Sawrey;English;1751-1800
2896;MOREAU, Mathurin;French;1851-1900
3249;PIETRO DA FANO;Italian;1451-1500
857;CHODOWIECKI, Daniel Nikolaus;Polish;1751-1800
358;BERNARDINO DI MARIOTTO DELLO STAGNO;Italian;1501-1550
2799;MIJ, Hieronymus van der;Dutch;1701-1750
526;BOUDARD, Jean-Baptiste;French;1751-1800
4454;VUILLARD, Édouard;French;1851-1900
3007;NOLLEKENS, Joseph;English;1751-1800
3996;SUSTERMANS, Justus;Flemish;1601-1650
83;ANDREOLI, Giorgio;Italian;1501-1550
1792;GRUPELLO, Gabriel;Flemish;1651-1700
2674;MASTER of the Story of Griselda;Italian;1451-1500
1978;HORNY, Franz;German;1801-1850
1847;HALS, Frans;Dutch;1601-1650
285;BEGAS, Reinhold;German;1851-1900
3168;PEETERS, Bonaventura;Flemish;1601-1650
1721;GOTHIC GLASS PAINTER, Spanish;Spanish;1301-1350
890;CLAUS DE WERVE;Netherlandish;1401-1450
3697;SALY, Jacques-François-Joseph;French;1751-1800
3040;OEVER, Hendrick ten;Dutch;1651-1700
1796;GUARANA, Jacopo;Italian;1751-1800
4599;ZUCCARO, Federico;Italian;1551-1600
258;BAYEU Y SUBIAS, Ramón;Spanish;1751-1800
329;BENSON, Ambrosius;Flemish;1501-1550
2469;MAGGI DA BASSANO, Annibale;Italian;1451-1500
1119;DAVIS, Richard Barrett;English;1801-1850
4577;ZAUNER, Franz Anton;German;1751-1800
2895;MOREAU, Jean-Michel;French;1751-1800
2053;JADOT, Jean-Nicolas;French;1701-1750
4433;VOORHOUT, Johannes;Dutch;1651-1700
387;BICCI DI LORENZO;Italian;1401-1450
4179;UNKNOWN ARCHITECT, French;French;1051-1100
3161;PAULSEN, Julius;Danish;1851-1900
1825;GÜNTHER, Franz Ignaz;German;1751-1800
4587;ZIEM, Félix;French;1851-1900
2838;MISERONI, Gasparo;Italian;1551-1600
422;BLOEMAERT, Abraham;Dutch;1601-1650
4227;UNKNOWN MASTER, Italian;Italian;1051-1100
4391;VINNE, Vincent I Laurensz. van der;Dutch;1651-1700
3465;REPIN, Ilya Yefimovich;Russian;1851-1900
190;BALDOVINETTI, Alessio;Italian;1451-1500
38;ALBERTINELLI, Mariotto;Italian;1451-1500
2052;JACQUOT, Georges;French;1801-1850
1841;HAGUENAUER, Nikolaus;German;1501-1550
881;CLAEISSENS, Antoon;Flemish;1551-1600
3681;SAINT-JEAN, Simon;French;1801-1850
1234;DROUAIS, François-Hubert;French;1701-1750
3931;STALBEMT, Adriaen van;Flemish;1601-1650
1791;GRUND, Norbert;Bohemian;1701-1750
1812;GUGLIELMO, Fra;Italian;1251-1300
4250;URBANI, Andrea;Italian;1751-1800
1642;GIOLFINO, Bartolomeo;Italian;1451-1500
2145;KNIJFF, Wouter;Dutch;1601-1650
3563;ROMANESQUE GLASS PAINTER, French;French;1101-1150
2888;MORALES, Luis de;Spanish;1551-1600
2287;LEICHER, Felix Ivo;Austrian;1751-1800
1103;DANNECKER, Heinrich;German;1801-1850
1995;HUGUET, Jaume;Catalan;1451-1500
1614;GHIRLANDAIO, Davide;Italian;1451-1500
4474;WEBBER, John;English;1751-1800
3461;RENARD DE SAINT-ANDRÉ, Simon;French;1651-1700
3492;RICO Y ORTEGA, Martín;Spanish;1851-1900
4024;TARAVAL, Louis-Gustave;French;1751-1800
1817;GUIDOTTI, Paolo;Italian;1551-1600
11;ADAM, Albrecht;German;1801-1850
1182;DIJCK, Abraham van;Dutch;1651-1700
529;BOUDIN, Léonard;French;1751-1800
581;BREGNO, Giovanni Battista;Italian;1501-1550
768;CASALI, Andrea;Italian;1701-1750
1048;CRESPI, Luigi;Italian;1751-1800
3104;PALAMEDESZ., Anthonie;Dutch;1601-1650
35;ALBERTI, Cherubino;Italian;1551-1600
4378;VIGNOLA, Giacomo da;Italian;1501-1550
2250;LAUTENSACK, Hanns;German;1551-1600
3881;SMITH, George;English;1751-1800
3038;OEHME, Ernst Ferdinand;German;1801-1850
1259;DUMONT, François;French;1701-1750
4026;TARDIEU, Nicolas-Henry;French;1701-1750
4310;VELDE, Jan van de, II;Dutch;1601-1650
1000;COT, Pierre-Auguste;French;1851-1900
3010;NOMELLINI, Plinio;Italian;1851-1900
2415;LORENTINO D'AREZZO;Italian;1451-1500
959;COOMANS, Pierre Olivier Joseph;Belgian;1851-1900
1865;HARNETT, William Michael;American;1851-1900
2477;MAIANO, Giuliano da;Italian;1451-1500
867;CIGNAROLI, Giambettino;Italian;1701-1750
1794;GRYEF, Adriaen de;Flemish;1651-1700
1375;FERNÁNDEZ, Alejo;Spanish;1501-1550
4088;TISCHBEIN, Johann Friedrich August;German;1751-1800
1263;DUPLESSIS, Joseph-Siffred;French;1751-1800
2226;LANE, Fitz Hugh;American;1851-1900
3774;SCHLÜTER, Andreas;German;1651-1700
4066;THOMAS, Jan;Flemish;1651-1700
4103;TOMMASI, Adolfo;Italian;1851-1900
1188;DIONYSIUS;Russian;1451-1500
2490;MALINCONICO, Nicola;Italian;1651-1700
1229;DRECHSLER, Johann Baptist;Austrian;1751-1800
2329;LEVITAN, Isaak Ilyich;Russian;1851-1900
4099;TOL, Domenicus van;Dutch;1651-1700
3029;NYPOORT, Justus van den;Dutch;1651-1700
1148;DELSENBACH, Johann Adam;German;1701-1750
80;ANDREA DI NERIO;Italian;1351-1400
4145;TROY, François de;French;1651-1700
177;BAEN, Jan de;Dutch;1651-1700
2078;JONES, Thomas;English;1751-1800
3172;PEETERS, Jan;Flemish;1651-1700
523;BOUCHER, François;French;1701-1750
3545;ROEPEL, Coenraet;Dutch;1701-1750
873;CINGANELLI, Michelangelo;Italian;1601-1650
3560;ROMAKO, Anton;Austrian;1851-1900
3551;ROGHMAN, Roelandt;Dutch;1651-1700
368;BERTOIA, Jacopo;Italian;1551-1600
3034;ODEKERKEN, Willem van;Dutch;1601-1650
2938;MURILLO, Bartolomé Esteban;Spanish;1651-1700
2542;MARLOW, William;English;1751-1800
4199;UNKNOWN GOLDSMITH, Danish;Danish;1151-1200
2501;MANET, Edouard;French;1851-1900
2015;INGRES, Jean-Auguste-Dominique;French;1801-1850
466;BONAZZA, Giovanni;Italian;1651-1700
761;CARRIER-BELLEUSE, Albert-Ernest;French;1851-1900
691;CALVI, Jacopo Alessandro;Italian;1751-1800
3717;SANSOVINO, Jacopo;Italian;1501-1550
1246;DUBUFE, Edouard;French;1851-1900
2737;MELOZZO DA FORLI;Italian;1451-1500
486;BORDONE, Benedetto;Italian;1501-1550
2022;ISRAELS, Isaac Lazarus;Dutch;1851-1900
1800;GUARIENTO d'Arpo;Italian;1351-1400
2630;MASTER of the Aix Annunciation;French;1401-1450
1924;HEYDEN, Pieter van der;Flemish;1551-1600
2448;LUTTICHUIJS, Simon;Dutch;1601-1650
3460;RENAISSANCE GLASS PAINTER, Netherlandish;Netherlandish;1501-1550
1690;GIUSTI, Antonio;Italian;1501-1550
336;BERCHEM, Nicolaes;Dutch;1651-1700
125;ARCANGELO DI JACOPO DEL SELLAIO;Italian;1501-1550
17;ADRIAENSSEN, Alexander;Flemish;1601-1650
624;BRUYN, Barthel;German;1501-1550
812;CECCO BRAVO;Italian;1601-1650
4506;WIERINGEN, Cornelis Claesz van;Dutch;1601-1650
2669;MASTER of the Piccolomini Madonna;Italian;1451-1500
3188;PERCY, Sidney Richard;English;1851-1900
1558;GARNIER, Etienne-Barthélemy;French;1751-1800
4317;VENNE, Jan van der;Dutch;1601-1650
3827;SEROV, Valentin;Russian;1851-1900
1130;DEGAS, Edgar;French;1851-1900
2694;MATTHEW PARIS;English;1201-1250
3410;RAHL, Carl;Austrian;1801-1850
1893;HEIM, François-Joseph;French;1801-1850
3589;ROMNEY, George;English;1751-1800
2036;JACOBSZ., Lambert;Dutch;1601-1650
3254;PIETRO DI DOMENICO DA SIENA;Italian;1451-1500
3284;PITTONI, Giambattista;Italian;1701-1750
2055;JALEY, Jean-Louis-Nicolas;French;1801-1850
3666;SABLET, Jean-François;Swiss;1751-1800
4349;VERNET, Carle;French;1751-1800
524;BOUCLE, Pierre van;Flemish;1601-1650
1904;HEMMEL VON ANDLAU, Peter;German;1451-1500
3591;ROOME, Jan van;Flemish;1501-1550
3231;PICCOLPASSO, Cipriano di Michele;Italian;1551-1600
3553;ROKOTOV, Fyodor;Russian;1751-1800
3025;NUVOLONE, Giuseppe;Italian;1651-1700
1030;COYPEL, Noel-Nicolas;French;1701-1750
1688;GIULIO ROMANO;Italian;1501-1550
1574;GAUFFIER, Louis;French;1751-1800
2783;MICHELINO DA BESOZZO;Italian;1401-1450
2597;MASTER of AB Monogram;German;1501-1550
1338;FABRIS, Michele;Hungarian;1651-1700
2368;LIPPI, Filippino;Italian;1451-1500
2514;MARASTONI, Jakab;Hungarian;1801-1850
238;BARYE, Antoine-Louis;French;1801-1850
4338;VERHULST, Rombout;Flemish;1651-1700
2519;MARCHETTI, Ludovico;Italian;1851-1900
1752;GRAVE, Josua de;Dutch;1651-1700
1816;GUIDOBONO, Bartolomeo;Italian;1651-1700
1195;DOETECUM, Joannes;Netherlandish;1551-1600
3836;SEYMOUR, James;English;1701-1750
2911;MORONI, Giovanni Battista;Italian;1551-1600
4144;TROTTI, Giovanni Battista;Italian;1551-1600
3811;SEGANTINI, Giovanni;Italian;1851-1900
803;CAVAZZOLA;Italian;1501-1550
3576;ROMANESQUE SCULPTOR, French;French;1001-1050
299;BELLE, Alexis-Simon;French;1701-1750
3639;RUNGE, Philipp Otto;German;1801-1850
2437;LUCE, Lucas;Dutch;1601-1650
1625;GIBSON, John;English;1801-1850
1784;GRONDONCK, Bartholomeus;Flemish;1601-1650
1570;GASSIES, Jean-Bruno;French;1801-1850
727;CARAGLIO, Giovanni Jacopo;Italian;1501-1550
2466;MAESTRI, Michelangelo;Italian;1801-1850
2913;MORRIS, William;English;1851-1900
3064;ORRENTE, Pedro;Spanish;1601-1650
1636;GILLRAY, James;English;1751-1800
681;CALCAR, Jan Steven van;Flemish;1501-1550
1938;HOBBEMA, Meyndert;Dutch;1651-1700
986;CORTE, Gabriel de la;Spanish;1651-1700
4412;VIVARINI, Antonio;Italian;1451-1500
2532;MARINARI, Onorio;Italian;1651-1700
136;ASAM, Egid Quirin;German;1701-1750
899;CLEVE, Joos van;Flemish;1501-1550
1919;HETSCH, Philipp Friedrich von;German;1751-1800
1902;HEMESSEN, Catharina van;Flemish;1551-1600
1111;DAUCHER, Hans;German;1501-1550
4095;TIVOLI, Serafino de;Italian;1851-1900
4295;VÁZQUEZ, Alonso;Spanish;1551-1600
587;BREU, Jörg the Elder;German;1501-1550
4147;TROYE, Edward;American;1801-1850
512;BOSSCHE, Balthasar van den;Flemish;1701-1750
3218;PEYRON, Jean-François-Pierre;French;1751-1800
3886;SOEST, Gerard;Dutch;1601-1650
424;BLOEMEN, Jan Frans van;Flemish;1651-1700
1423;FLORIS, Cornelis;Flemish;1551-1600
